authors,date,link,title
SF Ahmed,2020,https://www.nature.com/articles/s41467-020-15783-y,Structural basis for DNA damage-induced phosphoregulation of MDM2 RING domain
,2020,https://cancerres.aacrjournals.org/content/80/8/1720.short,MiR-30e-3p influences tumor phenotype through MDM2/TP53 axis and predicts sorafenib resistance in hepatocellular carcinoma
,2020,https://www.cambridge.org/core/journals/experimental-results/article/longterm-cultivation-using-ineffective-mdm2-inhibitor-concentrations-alters-the-drug-sensitivity-profiles-of-pl21-leukaemia-cells/E67D472186BE75F8F54FF188BBABA830,Long-term cultivation using ineffective MDM2 inhibitor concentrations alters the drug sensitivity profiles of PL21 leukaemia cells
L Singh,2020,https://www.ingentaconnect.com/content/ben/mc/2020/00000016/00000002/art00008,"Novel p-Functionalized Chromen-4-on-3-yl Chalcones Bearing Astonishing Boronic Acid Moiety as MDM2 Inhibitor: Synthesis, Cytotoxic Evaluation and Simulation …"
"P Verwilst,M Won",2020,https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201916524,MDM2‐Associated Clusterization‐Triggered Emission and Apoptosis Induction Effectuated by a Theranostic Spiropolymer
,2020,https://cancerres.aacrjournals.org/content/80/4_Supplement/P3-03-09.short,Abstract P3-03-09: Dual targeting of BCL2 and MDM2 as a novel therapeutic strategy in ER+ breast cancer model
T Felicetti,2020,https://onlinelibrary.wiley.com/doi/abs/10.1002/cmdc.201900574,Optimized Inhibitors of MDM2 via an Attempted Protein‐Templated Reductive Amination
K Thibeault,2020,http://search.proquest.com/openview/1ebf0716091b24a3c84eeb46ee7d010a/1?pq-origsite=gscholar&cbl=2041939,Mdm2 enhances ligase activity of parkin and facilitates mitophagy
T Stiewe,2020,https://www.tandfonline.com/doi/abs/10.1080/15384101.2019.1693748,Inactivation of Mdm2 restores apoptosis proficiency of cooperativity mutant p53 in vivo
"SJ Conway,MMM Santos",2020,https://www.sciencedirect.com/science/article/pii/B9780128183496000108,PPIs as therapeutic targets for anticancer drug discovery: the case study of MDM2 and BET bromodomain inhibitors
