authors,date,link,title
A Zhavoronkov,2020,https://ascpt.onlinelibrary.wiley.com/doi/abs/10.1002/cpt.1795,Will Artificial Intelligence for Drug Discovery Impact Clinical Pharmacology?
A Talevi,2020,https://ascpt.onlinelibrary.wiley.com/doi/abs/10.1002/psp4.12491,Machine learning in drug discovery and development part 1–a primer
Y Vander Heyden,2020,https://www.sciencedirect.com/science/article/pii/S073170851931948X,Pharmaceutical analysis combined with in-silico therapeutic and toxicological profiling on zileuton and its impurities to assist in modern drug discovery
"P Karmakar,V Gaitonde",2020,https://www.intechopen.com/books/drug-discovery-and-development-new-advances/introductory-chapter-the-modern-day-drug-discovery,Introductory Chapter: The Modern-Day Drug Discovery
,2020,http://article.sciencepublishinggroup.org/pdf/10.11648.j.ajasr.20200602.12.pdf,"A Kinetic Assay for Drug Discovery: Part 2, Sodium Sulfate"
,2020,https://link.springer.com/protocol/10.1007/978-1-0716-0227-0_14,Peptidomimetic Synthesis: Drug Discovery for Alzheimer's Disease
"V Soubannier,V Sigutova",2020,https://www.sciencedirect.com/science/article/pii/S0304394020302986,Characterization of human iPSC-derived astrocytes with potential for disease modeling and drug discovery
AC Ross,2020,https://www.sciencedirect.com/science/article/pii/S0167779919302707,Unearthing Hidden Chemical Potential from Discarded Actinobacterial Libraries
"FY Ling,JM Korn",2020,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6996910/,Patient-derived glioblastoma cultures as a tool for small-molecule drug discovery
,2020,https://pubs.acs.org/doi/abs/10.1021/acs.nanolett.9b04018,Liposomal 9-Aminoacridine for Treatment of Ischemic Stroke: From Drug Discovery to Drug Delivery
