authors,date,link,title
"T Miljus,DA Sykes",2020,https://link.springer.com/protocol/10.1007/978-1-0716-0373-4_8,GPCR Solubilization and Quality Control
"P Kozielewicz,A Turku,G Schulte",2020,http://molpharm.aspetjournals.org/content/97/1/23.abstract,A NanoBRET-Based Binding Assay for Smoothened Allows Real-time Analysis of Ligand Binding and Distinction of Two Binding Sites for BODIPY-cyclopamine
"DB Finlay,SB Duffull,M Glass",2020,https://bpspubs.onlinelibrary.wiley.com/doi/abs/10.1111/bph.14988,100 years of modelling ligand–receptor binding and response: A focus on GPCRs
MJ Scott,2020,https://www.tandfonline.com/doi/abs/10.1080/19420862.2020.1755069,Rapid identification of highly potent human anti-GPCR antagonist monoclonal antibodies
FJ Ehlert,2020,https://www.sciencedirect.com/science/article/pii/B978012816228600009X,Quantifying GPCR allostery and biased signaling
"J Steyaert,E Pardon",2020,https://patents.google.com/patent/US20200025773A1/en,Protein binding domains stabilizing functional conformational states of gpcrs and uses thereof
,2020,https://stke.sciencemag.org/content/13/613/eaax4569.abstract,The GPCR accessory protein MRAP2 regulates both biased signaling and constitutive activity of the ghrelin receptor GHSR1a
"I Vetter,J Bassett,JR Deuis,B Tay,S Jami",2020,https://link.springer.com/chapter/10.1007/978-3-030-12457-1_3,High-Throughput Fluorescence Assays for Ion Channels and GPCRs
,2020,https://www.sciencedirect.com/science/article/pii/B9780128162286000106,Kinetics of ligand binding and signaling
"T Ngo,P Keov,NJ Smith,I Kufareva",2020,https://www.sciencedirect.com/science/article/pii/B9780128162286000167,Tackling the complexities of orphan GPCR ligand discovery with rationally assisted approaches
