authors,date,link,title
,2020,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6930415/,Recombinant Dual-target MDM2/MDMX Inhibitor Reverses Doxorubicin Resistance through Activation of the TAB1/TAK1/p38 MAPK Pathway in Wild-type p53 …
NJ Grimsey,2020,https://faseb.onlinelibrary.wiley.com/doi/abs/10.1096/fasebj.2020.34.s1.06631,Developing a FRET‐based Platform of Monitoring GPCR‐induced p38 Activation Illuminates the Foundational Basis of Spatiotemporal Regulation in Proinflammatory …
,2020,https://www.mdpi.com/1422-0067/21/6/1913,The p38 Pathway: From Biology to Cancer Therapy
JA Trejo,2020,https://faseb.onlinelibrary.wiley.com/doi/abs/10.1096/fasebj.2020.34.s1.02608,An siRNA screen for endothelial PAR1‐specific deubiquitinases regulating p38 inflammatory signaling
N Grimsey,2020,https://faseb.onlinelibrary.wiley.com/doi/abs/10.1096/fasebj.2020.34.s1.02464,Characterization of p38 Inflammatory Response in Human Pericytes
,2020,https://faseb.onlinelibrary.wiley.com/doi/abs/10.1096/fasebj.2020.34.s1.03724,HSP27 Mediates PAR1‐stimulated Pro‐inflammatory Vascular Responses
,2020,https://www.sciencedirect.com/science/article/pii/S089865682030005X,Redundant role of ASK1-mediated p38MAPK activation in human platelet function
NJ Grimsey,2020,https://faseb.onlinelibrary.wiley.com/doi/abs/10.1096/fasebj.2020.34.s1.04036,Development of FRET Biosensors to Detect Kinase Activity in Living Cells
,2020,https://journals.sagepub.com/doi/abs/10.1177/1934578X20901409,Laminarin From Salicornia herbacea Stimulates Glucose Uptake Through AMPK-p38 MAPK Pathways in L6 Muscle Cells
R Menon,2020,https://stke.sciencemag.org/content/13/618/eaay1486?utm_campaign=TrendMD_1&et_rid=35140973&et_cid=3220828&utm_source=TrendMD&utm_medium=cpc,Reversible EMT and MET mediate amnion remodeling during pregnancy and labor
